-2.9927  15.5615
-2.9427  24.0568
-2.8927  32.1686
-2.8427  37.7334
-2.7927  39.4264
-2.7427  37.9802
-2.6927  35.0168
-2.6427  31.9325
-2.5927  30.3815
-2.5427  31.1038
-2.4927  32.7462
-2.4427  34.0580
-2.3927  35.3046
-2.3427  36.6270
-2.2927  37.4802
-2.2427  37.6327
-2.1927  37.3311
-2.1427  37.2334
-2.0927  38.1633
-2.0427  40.3773
-1.9927  43.5085
-1.9427  46.4445
-1.8927  47.1805
-1.8427  44.8690
-1.7927  41.1120
-1.7427  38.2559
-1.6927  37.6072
-1.6427  38.5124
-1.5927  39.2547
-1.5427  38.7987
-1.4927  36.4525
-1.4427  32.0085
-1.3927  27.3786
-1.3427  25.2448
-1.2927  25.3382
-1.2427  24.6811
-1.1927  22.2313
-1.1427  20.2480
-1.0927  20.7976
-1.0427  23.5477
-0.9927  26.1899
-0.9427  26.0860
-0.8927  22.4343
-0.8427  16.6429
-0.7927  10.6523
-0.7427  5.8692
-0.6927  3.2807
-0.6427  3.1604
-0.5927  4.4489
-0.5427  5.3066
-0.4927  5.0583
-0.4427  4.8064
-0.3927  5.1962
-0.3427  5.1337
-0.2927  3.7713
-0.2427  1.9180
-0.1927  0.6634
-0.1427  0.1554
-0.0927  0.0247
-0.0427  0.0027
0.0073  0.0006
0.0573  0.0053
0.1073  0.0439
0.1573  0.2472
0.2073  0.9411
0.2573  2.4246
0.3073  4.2343
0.3573  5.0581
0.4073  4.3611
0.4573  3.4634
0.5073  3.8629
0.5573  5.2665
0.6073  6.3582
0.6573  6.8333
0.7073  7.2402
0.7573  7.5944
0.8073  7.5060
0.8573  6.6885
0.9073  5.3733
0.9573  4.8867
1.0073  6.5521
1.0573  9.9922
1.1073  13.6459
1.1573  16.4203
1.2073  18.1100
1.2573  19.0556
1.3073  19.7453
1.3573  19.9184
1.4073  18.8564
1.4573  17.5694
1.5073  18.3113
1.5573  20.8679
1.6073  22.3509
1.6573  20.9543
1.7073  17.6910
1.7573  14.6375
1.8073  13.1542
1.8573  14.3474
1.9073  18.8660
1.9573  24.3742
2.0073  26.3642
2.0573  23.6836
2.1073  19.7403
2.1573  17.5272
2.2073  17.3148
2.2573  18.7172
2.3073  21.8977
2.3573  26.6141
2.4073  31.2167
2.4573  33.5512
2.5073  32.9407
2.5573  30.6144
2.6073  28.5286
2.6573  27.6343
2.7073  27.0415
2.7573  25.7275
2.8073  24.3528
2.8573  24.0527
2.9073  24.0008
2.9573  21.5958
